name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2008 TRAVEL SUPREME ENVOY 42DL24,/rvdetails/used-class-a-diesel-rvs/2008-travel-supreme-envoy-42dl24-front-living-80k-SRM2113711,"

Sherman,TX
",2113711,Used,4,4,75600,88999,-
2005 WINNEBAGO JOURNEY 34H,/rvdetails/used-class-a-diesel-rvs/2005-winnebago-journey-34h-front-living-50k-KAT2081356,"

Katy,TX
",2081356,Used,-,-,140546,50999,-
2009 ITASCA NAVION 24DL,/rvdetails/used-class-c-rvs/2009-itasca-navion-24dl-rear-bath-50k-CNW2178973,"

CenterConway,NH
",2178973,Used,2,1,65000,59699,-
2010 ITASCA REYO 25R,/rvdetails/used-class-a-diesel-rvs/2010-itasca-reyo-25r-rear-bath-60k-TVA2193644,"

Thornburg,VA
",2193644,Used,5,1,45375,64699,-
2008 WINNEBAGO VIEW 24J,/rvdetails/used-class-c-rvs/2008-winnebago-view-24j-rear-living-60k-LUB2204010,"

Lubbock,TX
",2204010,Used,4,1,60500,66999,-
2017 FOREST RIVER FORESTER MBS 2401R,/rvdetails/used-class-c-rvs/2017-forest-river-forester-mbs-2401r-front-living-60k-FRV2196026,"

Burlington,WA
",2196026,Used,5,2,124274,68999,-
2016 THOR GEMINI 23TR,/rvdetails/used-class-c-rvs/2016-thor-gemini-23tr-front-living-60k-BUF2203479P,"

Hamburg,NY
",2203479P,Used,3,1,32006,68999,-
2014 FOREST RIVER SOLERA 24R,/rvdetails/used-class-c-rvs/2014-forest-river-solera-24r-front-living-60k-TPA2160891,"

Dover,FL
",2160891,Used,5,1,72094,69699,-
2013 FLEETWOOD TIOGA DSL 24R,/rvdetails/used-class-c-rvs/2013-fleetwood-tioga-dsl-24r-front-living-60k-KWI2160719,"

Kenosha,WI
",2160719,Used,-,-,38578,69499,-
2017 THOR CHATEAU 24HL,/rvdetails/used-class-c-rvs/2017-thor-chateau-24hl-front-living-60k-CH2183465,"

Chattanooga,TN
",2183465,Used,5,2,49260,69999,-
2011 FOUR WINDS SERRANO 31V,/rvdetails/used-class-a-diesel-rvs/2011-four-winds-serrano-31v-front-living-60k-POR2161364P,"

WoodVillage,OR
",2161364P,Used,-,2,26894,69699,-
2011 WINNEBAGO VIEW 24K,/rvdetails/used-class-c-rvs/2011-winnebago-view-24k-front-living-60k-TUL2198706,"

Tulsa,OK
",2198706,Used,4,1,43919,69699,-
2011 WINNEBAGO VIA 25T,/rvdetails/used-class-a-diesel-rvs/2011-winnebago-via-25t-rear-living-70k-KNOX2183054,"

Louisville,TN
",2183054,Used,6,1,31193,71099,-
2009 GULF STREAM CONQUEST B-TOURNG CRUISER 5232,/rvdetails/used-class-c-rvs/2009-gulf-stream-conquest-b-tourng-cruiser-5232-rear-bath-70k-STR2129754,"

Strafford,MO
",2129754,Used,3,1,16678,71999,-
2017 THOR GEMINI 23TR,/rvdetails/used-class-c-rvs/2017-thor-gemini-23tr-front-living-70k-CNY2151083,"

Cicero,NY
",2151083,Used,2,1,17552,71999,-
2016 THOR GEMINI 23TR,/rvdetails/used-class-c-rvs/2016-thor-gemini-23tr-front-living-70k-BRI2190794,"

Swedesboro,NJ
",2190794,Used,3,1,44817,72499,-
2016 RENEGADE VIENNA 25VMBS,/rvdetails/used-class-c-rvs/2016-renegade-vienna-25vmbs-rear-bath-70k-RSC2066506,"

Ridgeland,SC
",2066506,Used,2,1,9811,75999,-
2017 THOR GEMINI 23TR,/rvdetails/used-class-c-rvs/2017-thor-gemini-23tr-front-living-70k-TTX2184183P,"

Tyler,TX
",2184183P,Used,4,1,20996,75999,-
2016 FOREST RIVER SUNSEEKER MBS 2400R,/rvdetails/used-class-c-rvs/2016-forest-river-sunseeker-mbs-2400r-front-living-70k-FAY2201436,"

HopeMills,NC
",2201436,Used,5,2,29345,76799,-
2016 THOR COMPASS 23TR,/rvdetails/used-class-c-rvs/2016-thor-compass-23tr-front-living-70k-RSC2191745,"

Ridgeland,SC
",2191745,Used,4,1,31421,76999,-
name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2017 THOR COMPASS 23TB,/rvdetails/used-class-c-rvs/2017-thor-compass-23tb-front-living-70k-RNV2183267P,"

CampingWorldofReno-
Reno,NV
",2183267P,Used,4,1,88112,77999,-
